time,X_value,Y_value,Z_value
2.726,0.79895,0.14954,0.14023
2.736,0.82705,0.13366,0.13229
2.747,0.85515,0.12266,0.11701
2.757,0.87592,0.12572,0.09869
2.767,0.88447,0.13671,0.08464
2.778,0.88325,0.15443,0.07059
2.788,0.87653,0.16909,0.06448
2.798,0.85698,0.17275,0.06142
2.808,0.83988,0.18008,0.06204
2.819,0.80506,0.16481,0.06265
2.829,0.77757,0.15443,0.06509
2.840,0.77146,0.16359,0.06631
2.850,0.75924,0.18436,0.07059
2.860,0.74703,0.20391,0.06509
2.871,0.72748,0.20024,0.06937
2.881,0.68350,0.17398,0.06876
2.892,0.60409,0.13122,0.06509
2.902,0.53261,0.09090,0.06020
2.912,0.48436,0.06402,0.04921
2.923,0.43549,0.04203,0.03271
2.933,0.37929,0.02126,0.02050
2.943,0.31576,0.00538,0.00706
2.953,0.25345,-0.00134,-0.00455
2.964,0.18809,-0.00012,-0.01127
2.974,0.11295,-0.01600,-0.01738
2.984,0.03965,-0.03372,-0.02226
2.995,-0.03366,-0.03922,-0.03509
3.005,-0.11002,-0.05449,-0.05342
3.017,-0.15950,-0.06793,-0.06136
3.027,-0.23891,-0.05876,-0.05769
3.037,-0.30916,-0.05082,-0.04670
3.048,-0.37024,-0.04960,-0.03326
3.059,-0.43255,-0.05327,-0.02471
3.069,-0.49303,-0.06487,-0.01188
3.079,-0.57488,-0.06060,0.00095
3.089,-0.65674,-0.05143,0.01378
3.100,-0.75265,-0.03433,0.03210
3.110,-0.84000,-0.00134,0.04249
3.121,-0.91453,0.04753,0.05043
3.133,-0.99883,0.11411,0.05409
3.143,-1.12405,0.16665,0.05409
3.153,-1.20224,0.18986,0.04554
3.163,-1.24867,0.17092,0.03088
3.174,-1.28471,0.12816,0.00523
3.184,-1.30243,0.10617,-0.02287
3.194,-1.32991,0.08112,-0.04181
3.205,-1.35985,0.07929,-0.03998
3.216,-1.40505,0.04814,-0.01005
3.226,-1.39589,-0.01539,0.03027
3.236,-1.35191,-0.06793,0.05654
3.247,-1.29876,-0.12779,0.07792
3.257,-1.23645,-0.22614,0.09136
3.267,-1.15032,-0.28540,0.10724
3.278,-1.05075,-0.28356,0.14145
3.288,-1.02143,-0.20782,0.17810
3.298,-1.02204,-0.08320,0.24163
3.309,-1.02570,0.01637,0.31005
3.319,-0.98233,0.07013,0.33998
3.330,-0.88765,0.10678,0.34059
3.340,-0.77952,0.21490,0.34242
3.350,-0.73127,0.28943,0.34914
3.361,-0.70072,0.33830,0.34548
3.371,-0.67446,0.36457,0.32898
3.382,-0.65063,0.35662,0.30577
3.392,-0.60543,0.32547,0.27034
3.402,-0.55473,0.30837,0.23797
3.413,-0.50219,0.30348,0.21536
3.423,-0.45516,0.31020,0.20070
3.433,-0.42889,0.33830,0.18238
3.444,-0.40934,0.35907,0.16710
3.454,-0.39529,0.35846,0.15244
3.465,-0.39407,0.35235,0.13962
3.475,-0.37635,0.33158,0.11885
3.485,-0.36169,0.31692,0.10235
3.496,-0.35558,0.27782,0.07914
3.506,-0.35497,0.21979,0.04554
3.516,-0.37269,0.14771,0.00889
3.527,-0.37696,0.11717,-0.01432
3.537,-0.36353,0.09640,-0.03387
3.547,-0.36658,0.06402,-0.05586
3.557,-0.37269,0.02615,-0.07358
3.568,-0.35436,-0.00195,-0.09068
3.578,-0.32015,-0.01906,-0.10901
3.588,-0.31343,-0.02761,-0.12733
3.599,-0.31405,-0.03799,-0.15726
3.609,-0.31038,-0.04838,-0.18475
3.619,-0.30061,-0.03922,-0.22079
3.629,-0.28900,-0.01173,-0.23668
3.640,-0.29144,0.02065,-0.23729
3.650,-0.27617,0.02798,-0.23790
3.660,-0.21814,0.02004,-0.24523
3.671,-0.17171,-0.01784,-0.25684
3.681,-0.13017,-0.05204,-0.26233
3.691,-0.08803,-0.07159,-0.26905
3.702,-0.04404,-0.07892,-0.26722
3.712,-0.00373,-0.08442,-0.25500
3.722,0.01765,-0.06854,-0.24523
3.733,0.01094,-0.04349,-0.23607
3.743,0.01338,-0.01417,-0.22018
3.753,0.03109,0.00110,-0.21041
3.764,0.07935,0.00110,-0.21896
3.775,0.10440,0.01332,-0.24218
3.785,0.09523,0.01026,-0.25012
3.795,0.11356,-0.03005,-0.24706
3.806,0.14471,-0.09175,-0.24523
3.816,0.11173,-0.09236,-0.19514
3.826,0.05370,0.01332,-0.14993
3.837,-0.01289,0.05547,-0.10473
3.847,-0.05504,0.10434,-0.08213
3.857,-0.08192,0.09273,-0.08579
3.868,-0.12101,-0.00134,-0.10229
3.878,-0.16683,-0.17483,-0.11817
3.889,-0.21203,-0.27012,-0.19025
3.899,-0.22975,-0.29517,-0.21469
3.909,-0.18699,-0.28295,-0.18964
3.920,-0.16622,-0.22920,-0.16276
3.930,-0.15950,-0.17055,-0.12428
3.940,-0.15583,-0.13512,-0.09801
3.951,-0.17965,-0.12290,-0.08702
3.961,-0.24135,-0.11130,-0.07052
3.972,-0.25418,-0.16628,-0.07541
3.982,-0.30305,-0.20843,-0.07419
3.992,-0.27800,-0.21453,-0.07235
4.003,-0.26090,-0.19254,-0.05708
4.013,-0.24380,-0.18582,-0.03754
4.023,-0.18332,-0.20476,-0.02043
4.034,-0.16255,-0.22736,-0.00699
4.045,-0.13384,-0.23103,0.00400
4.055,-0.03488,-0.21820,0.01072
4.066,-0.00434,-0.19743,0.01500
4.076,0.03781,-0.16628,0.01194
4.087,0.05675,-0.14612,0.01194
4.097,0.04942,-0.11985,0.01561
4.107,0.02926,-0.08503,0.01805
4.118,0.04392,-0.07220,0.01928
4.128,0.03842,-0.07281,0.01683
4.138,0.02437,-0.06976,0.02111
4.149,0.05370,-0.06426,0.02050
4.159,0.07141,-0.04960,0.02172
4.170,0.07202,-0.03922,0.02294
4.180,0.11539,-0.01661,0.02050
4.190,0.14716,-0.01784,0.01744
4.201,0.16671,-0.02150,0.00828
4.211,0.19297,-0.02700,0.00095
4.222,0.21374,-0.02944,-0.00638
4.232,0.19236,-0.01356,-0.00821
4.242,0.17404,-0.02578,-0.01005
4.253,0.15449,-0.04594,-0.00944
4.263,0.16243,-0.04288,-0.00944
4.274,0.19786,-0.02883,-0.01005
4.284,0.21985,-0.02761,-0.01249
4.295,0.25162,-0.04594,-0.01799
4.305,0.28888,-0.07648,-0.03387
4.315,0.29132,-0.08686,-0.04364
4.328,0.27788,-0.06915,-0.04425
4.338,0.26383,-0.04960,-0.03937
4.348,0.24978,-0.03799,-0.03265
4.359,0.26139,-0.01478,-0.02226
4.369,0.27727,-0.01051,-0.02471
4.379,0.28582,-0.01417,-0.03387
4.390,0.31698,-0.01112,-0.04731
4.400,0.34202,-0.00989,-0.06197
4.410,0.34141,-0.03250,-0.07419
4.421,0.32797,-0.05204,-0.08335
4.431,0.33347,-0.07098,-0.09007
4.441,0.31637,-0.07831,-0.08396
4.452,0.34019,-0.06793,-0.06502
4.463,0.37135,-0.04960,-0.04425
4.473,0.38784,-0.03799,-0.02043
4.484,0.39945,-0.03922,-0.01799
4.495,0.43426,-0.06060,-0.03143
4.505,0.42449,-0.08381,-0.04425
4.516,0.39822,-0.12046,-0.05281
4.527,0.39822,-0.14184,-0.05953
4.537,0.41411,-0.13818,-0.05525
4.547,0.41777,-0.10336,-0.03754
4.557,0.39700,-0.08931,-0.01432
4.568,0.40006,-0.13879,-0.01432
4.578,0.44465,-0.16261,-0.02104
4.588,0.49230,-0.17238,-0.03143
4.598,0.50146,-0.17177,-0.03815
4.609,0.47641,-0.14673,-0.03631
4.619,0.45626,-0.13757,-0.03265
4.629,0.47641,-0.13634,-0.03020
4.640,0.49657,-0.13390,-0.02837
4.650,0.52345,-0.13024,-0.03082
4.662,0.53933,-0.13573,-0.03020
4.672,0.56255,-0.14551,-0.03692
4.683,0.57415,-0.14429,-0.04487
4.693,0.59737,-0.15895,-0.05464
4.703,0.60958,-0.18460,-0.06380
4.714,0.61569,-0.22248,-0.07113
4.724,0.61264,-0.23775,-0.07907
4.734,0.60958,-0.24019,-0.07602
4.744,0.60164,-0.23653,-0.07052
4.755,0.60775,-0.23958,-0.06808
4.765,0.61447,-0.25546,-0.07846
4.775,0.62852,-0.28417,-0.09251
4.785,0.64685,-0.29334,-0.10717
4.796,0.68838,-0.28478,-0.12122
4.806,0.73115,-0.25730,-0.13039
4.816,0.75436,-0.20904,-0.12794
4.827,0.77513,-0.14795,-0.11695
4.838,0.79345,-0.08747,-0.09862
4.848,0.78551,-0.02211,-0.06869
4.858,0.77879,0.02920,-0.03387
4.869,0.76841,0.05302,-0.00088
4.879,0.75924,0.05180,0.02355
4.889,0.76169,0.06097,0.03516
4.900,0.78368,0.12266,0.03516
4.910,0.82094,0.19902,0.04249
4.920,0.84049,0.26316,0.05287
4.931,0.85821,0.31447,0.06265
4.941,0.84354,0.36762,0.07364
4.952,0.79773,0.39083,0.09930
4.962,0.76413,0.36212,0.12984
4.972,0.74947,0.32486,0.15183
4.983,0.75680,0.25828,0.16833
4.993,0.75008,0.20513,0.17932
5.003,0.72748,0.16359,0.18054
5.013,0.69572,0.12327,0.17077
5.024,0.66273,0.08296,0.14511
5.034,0.58942,0.03409,0.12068
5.044,0.52589,-0.01600,0.11274
5.055,0.47031,-0.05143,0.10602
5.065,0.43060,-0.09297,0.09624
5.075,0.42877,-0.12352,0.08525
5.086,0.44160,-0.12596,0.06937
5.096,0.41594,-0.10763,0.06692
5.107,0.37257,-0.08503,0.06448
5.118,0.31515,-0.06426,0.06753
5.128,0.24367,-0.04655,0.07364
5.139,0.17159,-0.03738,0.07181
5.149,0.10012,-0.03311,0.06509
5.159,0.02254,-0.02394,0.05532
5.170,-0.04832,-0.01661,0.03577
5.180,-0.13873,-0.02272,0.01256
5.190,-0.20287,-0.04227,-0.01432
5.201,-0.27495,-0.06793,-0.04242
5.211,-0.35375,-0.09725,-0.06136
5.222,-0.43316,-0.13390,-0.08824
5.232,-0.48875,-0.14978,-0.09984
5.242,-0.57183,-0.13634,-0.09312
5.252,-0.65063,-0.16689,-0.07968
5.263,-0.72210,-0.19254,-0.06686
5.273,-0.74898,-0.21576,-0.06197
5.283,-0.77769,-0.21087,-0.05647
5.294,-0.83695,-0.16078,-0.04853
5.304,-0.90964,-0.10824,-0.04242
5.314,-1.00005,-0.05632,-0.03631
5.324,-1.05686,-0.02517,-0.03143
5.335,-1.07457,-0.01295,-0.03020
5.345,-1.07763,-0.00623,-0.03509
5.355,-1.09045,-0.00562,-0.03326
5.365,-1.10939,0.04264,-0.02410
5.376,-1.12100,0.14588,-0.00149
5.386,-1.15826,0.24728,0.02294
5.396,-1.19675,0.31814,0.04676
5.407,-1.21751,0.32608,0.05959
5.417,-1.21141,0.25705,0.04615
5.427,-1.20285,0.16481,0.01866
5.438,-1.18514,0.11228,-0.00638
5.448,-1.17231,0.12144,-0.01860
5.458,-1.17109,0.13488,-0.01371
5.469,-1.14482,0.17703,0.01439
5.479,-1.10878,0.18192,0.04310
5.490,-1.00432,0.14526,0.05776
5.500,-0.93285,0.12327,0.04493
5.510,-0.86749,0.10189,0.01928
5.520,-0.85649,0.10128,-0.00272
5.531,-0.84428,0.10006,-0.02410
5.541,-0.83023,0.10373,-0.02959
5.552,-0.82229,0.11594,-0.03326
5.562,-0.79541,0.11045,-0.02715
5.572,-0.76914,0.10373,-0.02837
5.584,-0.69950,0.09640,-0.03509
5.595,-0.63964,0.09212,-0.03387
5.605,-0.60298,0.05547,-0.02898
5.615,-0.58832,0.02615,-0.02165
5.625,-0.54923,-0.00134,-0.02471
5.636,-0.52846,0.00354,-0.02898
5.646,-0.51930,0.00782,-0.02837
5.656,-0.50891,-0.00073,-0.02654
5.667,-0.49425,-0.01723,-0.02165
5.677,-0.48142,-0.05571,-0.02593
5.687,-0.48081,-0.09725,-0.03631
5.698,-0.47715,-0.11863,-0.04792
5.708,-0.46187,-0.12901,-0.05403
5.718,-0.47470,-0.11069,-0.05281
5.728,-0.48387,-0.08320,-0.03998
5.739,-0.48997,-0.04288,-0.02776
5.749,-0.48875,-0.03555,-0.01738
5.759,-0.46982,-0.03738,-0.01188
5.769,-0.45699,-0.02639,-0.01066
5.780,-0.40812,-0.02639,-0.01432
5.790,-0.33970,-0.03189,-0.01615
5.800,-0.27556,-0.03189,-0.01127
5.811,-0.24624,-0.03799,-0.00333
5.821,-0.21264,-0.03861,0.00523
5.831,-0.18943,-0.03066,0.00645
5.841,-0.15339,-0.02700,0.00217
5.852,-0.10452,-0.01845,-0.01005
5.862,-0.09291,-0.01478,-0.01799
5.872,-0.10269,-0.03616,-0.02165
5.883,-0.08497,-0.01784,-0.02226
5.893,-0.08131,0.00965,-0.01860
5.903,-0.09597,0.02309,-0.01249
5.913,-0.11551,0.02126,0.00339
5.924,-0.13323,0.03287,0.00034
5.934,-0.13445,0.07624,-0.01066
5.944,-0.17355,0.07502,-0.02715
5.954,-0.23708,0.05180,-0.03631
5.965,-0.27006,-0.02883,-0.06869
5.975,-0.27556,-0.13512,-0.10107
5.985,-0.27434,-0.16017,-0.11084
5.996,-0.27434,-0.16017,-0.11084
6.006,-0.27434,-0.16017,-0.11084
6.016,-0.28045,-0.16994,-0.11512
6.027,-0.37086,0.01026,-0.05097
6.037,-0.34276,0.05669,-0.06869
6.047,-0.27434,0.06891,-0.08213
6.058,-0.19248,0.04142,-0.05769
6.068,-0.21325,-0.00562,-0.10595
6.078,-0.27373,-0.00684,-0.09373
6.088,-0.26884,0.02431,-0.05647
6.099,-0.26579,0.04081,-0.03387
6.109,-0.30488,0.03897,-0.01493
6.119,-0.20837,0.07929,0.00095
6.130,-0.08436,0.04264,-0.02532
6.140,-0.01350,0.01515,-0.05525
6.150,0.05003,0.00354,-0.06319
6.160,0.08363,-0.01234,-0.07480
6.171,0.06836,-0.00318,-0.06502
6.181,0.06591,0.01454,-0.04670
6.191,0.01338,0.05791,-0.01738
6.202,0.02071,0.08662,-0.00760
6.212,0.08790,0.06280,-0.01310
